asset_id,key,concept,major_family,live_vs_raw_harvest,source_bank,source_role,path,final_disposition,final_reason_codes,reason_codes,notes,final_review_follow_up,reviewed_from,repair_evidence_sheet,source_provenance
live:vocab:absolute,absolute,absolute,vocab,live,07_vocab-pack,production_asset,public/assets/07_vocab-pack/img/absolute.png,ART_REDO,"[""ambiguous_concept""]","[""ambiguous_concept""]",Plain blue sphere; abstract and unreadable for young ESL learners.,,audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-001.jpg,,"{""asset_id"": ""live:vocab:absolute"", ""key"": ""absolute"", ""concept"": ""absolute"", ""source_bank"": ""07_vocab-pack"", ""source_role"": ""production_asset"", ""source_path"": ""public/assets/07_vocab-pack/img/absolute.png"", ""expected_asset_type"": ""vocab_icon"", ""expected_background_mode"": ""icon_image"", ""expected_concept_word"": ""absolute"", ""reviewed_from"": ""audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-001.jpg"", ""decision_source"": ""audit/visual-assets/decisions-vocab-001-075.jsonl"", ""sha256"": ""18719b6be68ab502c3f8c1b604f2dd5ed9275a91ef73b6be594a0f5027aa728e"", ""bytes"": 67379, ""notes"": ""Plain blue sphere; abstract and unreadable for young ESL learners."", ""reason_codes"": [""ambiguous_concept""]}"
live:vocab:accident,accident,accident,vocab,live,07_vocab-pack,production_asset,public/assets/07_vocab-pack/img/accident.png,ART_REDO,"[""generation_artifact""]","[""generation_artifact""]",Bicycle with prominent framing border line artifact.,,audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-001.jpg,,"{""asset_id"": ""live:vocab:accident"", ""key"": ""accident"", ""concept"": ""accident"", ""source_bank"": ""07_vocab-pack"", ""source_role"": ""production_asset"", ""source_path"": ""public/assets/07_vocab-pack/img/accident.png"", ""expected_asset_type"": ""vocab_icon"", ""expected_background_mode"": ""icon_image"", ""expected_concept_word"": ""accident"", ""reviewed_from"": ""audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-001.jpg"", ""decision_source"": ""audit/visual-assets/decisions-vocab-001-075.jsonl"", ""sha256"": ""5a515796c69901a77128e6f750892e9a97a4828478d2ad58cf8d3bf7b96d15a0"", ""bytes"": 35972, ""notes"": ""Bicycle with prominent framing border line artifact."", ""reason_codes"": [""generation_artifact""]}"
live:vocab:account,account,account,vocab,live,07_vocab-pack,production_asset,public/assets/07_vocab-pack/img/account.png,ART_REDO,"[""generation_artifact"", ""wrong_concept""]","[""generation_artifact"", ""wrong_concept""]",Wallet with slip and partial box frame line artifact.,,audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-001.jpg,,"{""asset_id"": ""live:vocab:account"", ""key"": ""account"", ""concept"": ""account"", ""source_bank"": ""07_vocab-pack"", ""source_role"": ""production_asset"", ""source_path"": ""public/assets/07_vocab-pack/img/account.png"", ""expected_asset_type"": ""vocab_icon"", ""expected_background_mode"": ""icon_image"", ""expected_concept_word"": ""account"", ""reviewed_from"": ""audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-001.jpg"", ""decision_source"": ""audit/visual-assets/decisions-vocab-001-075.jsonl"", ""sha256"": ""3bc173759f583a911b2e04f2b7a1482fe2256aa8542d67c400812dc8c945b557"", ""bytes"": 46619, ""notes"": ""Wallet with slip and partial box frame line artifact."", ""reason_codes"": [""generation_artifact"", ""wrong_concept""]}"
live:vocab:address-label,address-label,address label,vocab,live,07_vocab-pack,production_asset,public/assets/07_vocab-pack/img/address-label.png,ART_REDO,"[""blank"", ""ambiguous_concept""]","[""blank"", ""ambiguous_concept""]",Blank grey postcard rectangle with unreadable faint box.,,audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-002.jpg,,"{""asset_id"": ""live:vocab:address-label"", ""key"": ""address-label"", ""concept"": ""address label"", ""source_bank"": ""07_vocab-pack"", ""source_role"": ""production_asset"", ""source_path"": ""public/assets/07_vocab-pack/img/address-label.png"", ""expected_asset_type"": ""vocab_icon"", ""expected_background_mode"": ""icon_image"", ""expected_concept_word"": ""address label"", ""reviewed_from"": ""audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-002.jpg"", ""decision_source"": ""audit/visual-assets/decisions-vocab-001-075.jsonl"", ""sha256"": ""436bbd37a4a6d88e514538c6cac2768b08b3646b5aabb74494959af9fbfc94b5"", ""bytes"": 20720, ""notes"": ""Blank grey postcard rectangle with unreadable faint box."", ""reason_codes"": [""blank"", ""ambiguous_concept""]}"
live:vocab:addressee,addressee,addressee,vocab,live,07_vocab-pack,production_asset,public/assets/07_vocab-pack/img/addressee.png,ART_REDO,"[""blank"", ""ambiguous_concept""]","[""blank"", ""ambiguous_concept""]",Blank envelope with empty address box.,,audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-002.jpg,,"{""asset_id"": ""live:vocab:addressee"", ""key"": ""addressee"", ""concept"": ""addressee"", ""source_bank"": ""07_vocab-pack"", ""source_role"": ""production_asset"", ""source_path"": ""public/assets/07_vocab-pack/img/addressee.png"", ""expected_asset_type"": ""vocab_icon"", ""expected_background_mode"": ""icon_image"", ""expected_concept_word"": ""addressee"", ""reviewed_from"": ""audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-002.jpg"", ""decision_source"": ""audit/visual-assets/decisions-vocab-001-075.jsonl"", ""sha256"": ""33551801b2d7422e68c0f2ab22d9740e29e53be2f416f8beab5368011324820b"", ""bytes"": 46904, ""notes"": ""Blank envelope with empty address box."", ""reason_codes"": [""blank"", ""ambiguous_concept""]}"
live:vocab:adhesive-bandage,adhesive-bandage,adhesive bandage,vocab,live,07_vocab-pack,production_asset,public/assets/07_vocab-pack/img/adhesive-bandage.png,ART_REDO,"[""generation_artifact""]","[""generation_artifact""]",Adhesive bandage with blue smear artifact at bottom.,,audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-002.jpg,,"{""asset_id"": ""live:vocab:adhesive-bandage"", ""key"": ""adhesive-bandage"", ""concept"": ""adhesive bandage"", ""source_bank"": ""07_vocab-pack"", ""source_role"": ""production_asset"", ""source_path"": ""public/assets/07_vocab-pack/img/adhesive-bandage.png"", ""expected_asset_type"": ""vocab_icon"", ""expected_background_mode"": ""icon_image"", ""expected_concept_word"": ""adhesive bandage"", ""reviewed_from"": ""audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-002.jpg"", ""decision_source"": ""audit/visual-assets/decisions-vocab-001-075.jsonl"", ""sha256"": ""901f29eeac697bba19258b5dff381046b728b5aa9e34d4c7358b2d60903384c5"", ""bytes"": 16035, ""notes"": ""Adhesive bandage with blue smear artifact at bottom."", ""reason_codes"": [""generation_artifact""]}"
live:vocab:adore,adore,adore,vocab,live,07_vocab-pack,production_asset,public/assets/07_vocab-pack/img/adore.png,ART_REDO,"[""text_artifact""]","[""text_artifact""]",Text 'adore' rendered directly on the image.,,audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-002.jpg,,"{""asset_id"": ""live:vocab:adore"", ""key"": ""adore"", ""concept"": ""adore"", ""source_bank"": ""07_vocab-pack"", ""source_role"": ""production_asset"", ""source_path"": ""public/assets/07_vocab-pack/img/adore.png"", ""expected_asset_type"": ""vocab_icon"", ""expected_background_mode"": ""icon_image"", ""expected_concept_word"": ""adore"", ""reviewed_from"": ""audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-002.jpg"", ""decision_source"": ""audit/visual-assets/decisions-vocab-001-075.jsonl"", ""sha256"": ""8b94b5363df008f2c8f83b3e5d937b1d10ba72e37387d38e48da222e34ed9b9a"", ""bytes"": 53102, ""notes"": ""Text 'adore' rendered directly on the image."", ""reason_codes"": [""text_artifact""]}"
live:vocab:adult,adult,adult,vocab,live,07_vocab-pack,production_asset,public/assets/07_vocab-pack/img/adult.png,ART_REDO,"[""generation_artifact""]","[""generation_artifact""]",Adult icon with box framing artifact on top and left.,,audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-002.jpg,,"{""asset_id"": ""live:vocab:adult"", ""key"": ""adult"", ""concept"": ""adult"", ""source_bank"": ""07_vocab-pack"", ""source_role"": ""production_asset"", ""source_path"": ""public/assets/07_vocab-pack/img/adult.png"", ""expected_asset_type"": ""vocab_icon"", ""expected_background_mode"": ""icon_image"", ""expected_concept_word"": ""adult"", ""reviewed_from"": ""audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-002.jpg"", ""decision_source"": ""audit/visual-assets/decisions-vocab-001-075.jsonl"", ""sha256"": ""bfa3cfb0a14a2ad48516eada41957fdc918b86b4a02f6db64e1fc193f98a9dde"", ""bytes"": 23840, ""notes"": ""Adult icon with box framing artifact on top and left."", ""reason_codes"": [""generation_artifact""]}"
live:vocab:adverbial,adverbial,adverbial,vocab,live,07_vocab-pack,production_asset,public/assets/07_vocab-pack/img/adverbial.png,ART_REDO,"[""wrong_concept"", ""ambiguous_concept""]","[""wrong_concept"", ""ambiguous_concept""]",Confusing classroom diagram with random arrows.,,audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-002.jpg,,"{""asset_id"": ""live:vocab:adverbial"", ""key"": ""adverbial"", ""concept"": ""adverbial"", ""source_bank"": ""07_vocab-pack"", ""source_role"": ""production_asset"", ""source_path"": ""public/assets/07_vocab-pack/img/adverbial.png"", ""expected_asset_type"": ""vocab_icon"", ""expected_background_mode"": ""icon_image"", ""expected_concept_word"": ""adverbial"", ""reviewed_from"": ""audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-002.jpg"", ""decision_source"": ""audit/visual-assets/decisions-vocab-001-075.jsonl"", ""sha256"": ""e37ca30b660416e2e4fe1ea3f955ae47b9fafad3fa0c37721651e07577d39279"", ""bytes"": 103340, ""notes"": ""Confusing classroom diagram with random arrows."", ""reason_codes"": [""wrong_concept"", ""ambiguous_concept""]}"
live:vocab:airdrum,airdrum,airdrum,vocab,live,07_vocab-pack,production_asset,public/assets/07_vocab-pack/img/airdrum.png,ART_REDO,"[""wrong_concept""]","[""wrong_concept""]","Shows woman watering garden plants, labeled 'airdrum'.",,audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-003.jpg,,"{""asset_id"": ""live:vocab:airdrum"", ""key"": ""airdrum"", ""concept"": ""airdrum"", ""source_bank"": ""07_vocab-pack"", ""source_role"": ""production_asset"", ""source_path"": ""public/assets/07_vocab-pack/img/airdrum.png"", ""expected_asset_type"": ""vocab_icon"", ""expected_background_mode"": ""icon_image"", ""expected_concept_word"": ""airdrum"", ""reviewed_from"": ""audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-003.jpg"", ""decision_source"": ""audit/visual-assets/decisions-vocab-001-075.jsonl"", ""sha256"": ""163da17b6a523a8d42fd1293fff68cd3708ec4ddce6a1839025fd84de225b99d"", ""bytes"": 47552, ""notes"": ""Shows woman watering garden plants, labeled 'airdrum'."", ""reason_codes"": [""wrong_concept""]}"
