asset_id,key,concept,major_family,live_vs_raw_harvest,source_bank,source_role,path,final_disposition,final_reason_codes,reason_codes,notes,final_review_follow_up,reviewed_from,repair_evidence_sheet,source_provenance
live:vocab:chef-hat,chef-hat,chef hat,vocab,live,07_vocab-pack,production_asset,public/assets/07_vocab-pack/img/chef-hat.png,REVIEW,"[""weak_contrast""]",[],Clear instructional representation of 'chef-hat' with clean transparent alpha cutout.,Follow-up repair-sheet review found the white/light object very pale; human preference needed before treating as production-good.,audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-034.jpg,,"{""asset_id"": ""live:vocab:chef-hat"", ""key"": ""chef-hat"", ""concept"": ""chef hat"", ""source_bank"": ""07_vocab-pack"", ""source_role"": ""production_asset"", ""source_path"": ""public/assets/07_vocab-pack/img/chef-hat.png"", ""expected_asset_type"": ""vocab_icon"", ""expected_background_mode"": ""icon_image"", ""expected_concept_word"": ""chef hat"", ""reviewed_from"": ""audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-034.jpg"", ""decision_source"": ""audit/visual-assets/decisions-vocab-001-075.jsonl"", ""sha256"": ""939548ffd08f3183a3909617d45cd2ff89e2289dc69974e1ac2264cca83c348d"", ""bytes"": 16568, ""notes"": ""Clear instructional representation of 'chef-hat' with clean transparent alpha cutout."", ""reason_codes"": []}"
live:vocab:cotton,cotton,cotton,vocab,live,07_vocab-pack,production_asset,public/assets/07_vocab-pack/img/cotton.png,REVIEW,"[""ambiguous_concept""]",[],Clear instructional representation of 'cotton' with clean transparent alpha cutout.,Follow-up repair-sheet review found the object visually ambiguous at classroom scale.,audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-046.jpg,,"{""asset_id"": ""live:vocab:cotton"", ""key"": ""cotton"", ""concept"": ""cotton"", ""source_bank"": ""07_vocab-pack"", ""source_role"": ""production_asset"", ""source_path"": ""public/assets/07_vocab-pack/img/cotton.png"", ""expected_asset_type"": ""vocab_icon"", ""expected_background_mode"": ""icon_image"", ""expected_concept_word"": ""cotton"", ""reviewed_from"": ""audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-046.jpg"", ""decision_source"": ""audit/visual-assets/decisions-vocab-001-075.jsonl"", ""sha256"": ""4fd232361be43bf4021cc4ea86c30b8efa80a73457ea9e000440962c1fe8941e"", ""bytes"": 67184, ""notes"": ""Clear instructional representation of 'cotton' with clean transparent alpha cutout."", ""reason_codes"": []}"
live:vocab:cotton-ball,cotton-ball,cotton ball,vocab,live,07_vocab-pack,production_asset,public/assets/07_vocab-pack/img/cotton-ball.png,REVIEW,"[""ambiguous_concept""]",[],Clear instructional representation of 'cotton-ball' with clean transparent alpha cutout.,Follow-up repair-sheet review found the object visually ambiguous at classroom scale.,audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-046.jpg,,"{""asset_id"": ""live:vocab:cotton-ball"", ""key"": ""cotton-ball"", ""concept"": ""cotton ball"", ""source_bank"": ""07_vocab-pack"", ""source_role"": ""production_asset"", ""source_path"": ""public/assets/07_vocab-pack/img/cotton-ball.png"", ""expected_asset_type"": ""vocab_icon"", ""expected_background_mode"": ""icon_image"", ""expected_concept_word"": ""cotton ball"", ""reviewed_from"": ""audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-046.jpg"", ""decision_source"": ""audit/visual-assets/decisions-vocab-001-075.jsonl"", ""sha256"": ""0adc88551efdf576370d8f0552dabf59699c524b77369d94ed8300076200fb99"", ""bytes"": 30239, ""notes"": ""Clear instructional representation of 'cotton-ball' with clean transparent alpha cutout."", ""reason_codes"": []}"
live:vocab:cotton-swab,cotton-swab,cotton swab,vocab,live,07_vocab-pack,production_asset,public/assets/07_vocab-pack/img/cotton-swab.png,REVIEW,"[""weak_contrast""]",[],Clear instructional representation of 'cotton-swab' with clean transparent alpha cutout.,Follow-up repair-sheet review found the object too faint; human preference needed before treating as production-good.,audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-046.jpg,,"{""asset_id"": ""live:vocab:cotton-swab"", ""key"": ""cotton-swab"", ""concept"": ""cotton swab"", ""source_bank"": ""07_vocab-pack"", ""source_role"": ""production_asset"", ""source_path"": ""public/assets/07_vocab-pack/img/cotton-swab.png"", ""expected_asset_type"": ""vocab_icon"", ""expected_background_mode"": ""icon_image"", ""expected_concept_word"": ""cotton swab"", ""reviewed_from"": ""audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-046.jpg"", ""decision_source"": ""audit/visual-assets/decisions-vocab-001-075.jsonl"", ""sha256"": ""1d6be1bfed9e3c3ae417f41e9dd3d06b5f6cc5d81361735726396c12b5a6cf82"", ""bytes"": 7710, ""notes"": ""Clear instructional representation of 'cotton-swab' with clean transparent alpha cutout."", ""reason_codes"": []}"
live:vocab:flavor,flavor,flavor,vocab,live,07_vocab-pack,production_asset,public/assets/07_vocab-pack/img/flavor.png,REVIEW,[],[],Stray vertical dividing line on left and severed miniature icon artifact at bottom.,,audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-076.jpg,,"{""asset_id"": ""live:vocab:flavor"", ""key"": ""flavor"", ""concept"": ""flavor"", ""source_bank"": ""07_vocab-pack"", ""source_role"": ""production_asset"", ""source_path"": ""public/assets/07_vocab-pack/img/flavor.png"", ""expected_asset_type"": ""vocab_icon"", ""expected_background_mode"": ""icon_image"", ""expected_concept_word"": ""flavor"", ""reviewed_from"": ""audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-076.jpg"", ""decision_source"": ""audit/visual-assets/decisions-vocab-076-150.jsonl"", ""sha256"": ""99c3abe99bba0b267e1be135b077018c2a33dd6ee1bf4817fe1f88defcebff4b"", ""bytes"": 27047, ""notes"": ""Stray vertical dividing line on left and severed miniature icon artifact at bottom."", ""reason_codes"": []}"
live:vocab:flock,flock,flock,vocab,live,07_vocab-pack,production_asset,public/assets/07_vocab-pack/img/flock.png,REVIEW,[],[],Horizontal dividing line artifact across bottom with stray noise speck below.,,audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-076.jpg,,"{""asset_id"": ""live:vocab:flock"", ""key"": ""flock"", ""concept"": ""flock"", ""source_bank"": ""07_vocab-pack"", ""source_role"": ""production_asset"", ""source_path"": ""public/assets/07_vocab-pack/img/flock.png"", ""expected_asset_type"": ""vocab_icon"", ""expected_background_mode"": ""icon_image"", ""expected_concept_word"": ""flock"", ""reviewed_from"": ""audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-076.jpg"", ""decision_source"": ""audit/visual-assets/decisions-vocab-076-150.jsonl"", ""sha256"": ""8c0cdad4639a78a7c2128dc3ba517cd0b3dbcf4021519ba24ced4becdaabc21b"", ""bytes"": 26218, ""notes"": ""Horizontal dividing line artifact across bottom with stray noise speck below."", ""reason_codes"": []}"
live:vocab:flow,flow,flow,vocab,live,07_vocab-pack,production_asset,public/assets/07_vocab-pack/img/flow.png,REVIEW,[],[],Child watering plant pot; usable as watering but represents plant care more than pure liquid flow.,,audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-077.jpg,,"{""asset_id"": ""live:vocab:flow"", ""key"": ""flow"", ""concept"": ""flow"", ""source_bank"": ""07_vocab-pack"", ""source_role"": ""production_asset"", ""source_path"": ""public/assets/07_vocab-pack/img/flow.png"", ""expected_asset_type"": ""vocab_icon"", ""expected_background_mode"": ""icon_image"", ""expected_concept_word"": ""flow"", ""reviewed_from"": ""audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-077.jpg"", ""decision_source"": ""audit/visual-assets/decisions-vocab-076-150.jsonl"", ""sha256"": ""a02ea5476b70d6e77e179094ec98d387967a951f647e930a05f2a203ebc1039b"", ""bytes"": 61631, ""notes"": ""Child watering plant pot; usable as watering but represents plant care more than pure liquid flow."", ""reason_codes"": []}"
live:vocab:flu,flu,flu,vocab,live,07_vocab-pack,production_asset,public/assets/07_vocab-pack/img/flu.png,REVIEW,[],[],Split into two horizontal halves with horizontal dividing line across tile.,,audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-077.jpg,,"{""asset_id"": ""live:vocab:flu"", ""key"": ""flu"", ""concept"": ""flu"", ""source_bank"": ""07_vocab-pack"", ""source_role"": ""production_asset"", ""source_path"": ""public/assets/07_vocab-pack/img/flu.png"", ""expected_asset_type"": ""vocab_icon"", ""expected_background_mode"": ""icon_image"", ""expected_concept_word"": ""flu"", ""reviewed_from"": ""audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-077.jpg"", ""decision_source"": ""audit/visual-assets/decisions-vocab-076-150.jsonl"", ""sha256"": ""5596a628d38efc65dbd6eddfb3d1ba702085e68d67f807a4f59acfcfaffc3ef8"", ""bytes"": 18006, ""notes"": ""Split into two horizontal halves with horizontal dividing line across tile."", ""reason_codes"": []}"
live:vocab:fondness,fondness,fondness,vocab,live,07_vocab-pack,production_asset,public/assets/07_vocab-pack/img/fondness.png,REVIEW,[],[],"Split into horizontal sections with dividing line; locket on top, open book on bottom.",,audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-078.jpg,,"{""asset_id"": ""live:vocab:fondness"", ""key"": ""fondness"", ""concept"": ""fondness"", ""source_bank"": ""07_vocab-pack"", ""source_role"": ""production_asset"", ""source_path"": ""public/assets/07_vocab-pack/img/fondness.png"", ""expected_asset_type"": ""vocab_icon"", ""expected_background_mode"": ""icon_image"", ""expected_concept_word"": ""fondness"", ""reviewed_from"": ""audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-078.jpg"", ""decision_source"": ""audit/visual-assets/decisions-vocab-076-150.jsonl"", ""sha256"": ""d1a3548b0f359bb00367b251f1df58e844c5779aca962bcaf46d4d0495e5fd4f"", ""bytes"": 23936, ""notes"": ""Split into horizontal sections with dividing line; locket on top, open book on bottom."", ""reason_codes"": []}"
live:vocab:format,format,format,vocab,live,07_vocab-pack,production_asset,public/assets/07_vocab-pack/img/format.png,REVIEW,[],[],Box with lid split into two floating detached parts.,,audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-079.jpg,,"{""asset_id"": ""live:vocab:format"", ""key"": ""format"", ""concept"": ""format"", ""source_bank"": ""07_vocab-pack"", ""source_role"": ""production_asset"", ""source_path"": ""public/assets/07_vocab-pack/img/format.png"", ""expected_asset_type"": ""vocab_icon"", ""expected_background_mode"": ""icon_image"", ""expected_concept_word"": ""format"", ""reviewed_from"": ""audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-079.jpg"", ""decision_source"": ""audit/visual-assets/decisions-vocab-076-150.jsonl"", ""sha256"": ""c8a4c0b2be4ccd0adc0ac5d44d69ef2807fbae1e1e7f288578c5bcc729be7e7a"", ""bytes"": 26914, ""notes"": ""Box with lid split into two floating detached parts."", ""reason_codes"": []}"
