asset_id,key,concept,major_family,live_vs_raw_harvest,source_bank,source_role,path,final_disposition,final_reason_codes,reason_codes,notes,final_review_follow_up,reviewed_from,repair_evidence_sheet,source_provenance
raw:sheet:manus-prea1-stockpile:tmp-manus-prea1-stockpile-wave1-instructions-sheets-raw-01-png,01,01,Pre-A1 functional,raw_harvest,tmp/manus-prea1-stockpile,source_sheet,tmp/manus-prea1-stockpile/wave1-instructions/sheets/raw/01.png,SOURCE_CORRUPT,"[""corrupt""]","[""corrupt""]",Mechanical REDO: PIL could not open image: cannot identify image file 'C:\\dev\\PPT-Lesson-Maker-for-Classin\\tmp\\manus-prea1-stockpile\\wave1-instructions\\sheets\\raw\\01.png',,,,"{""asset_id"": ""raw:sheet:manus-prea1-stockpile:tmp-manus-prea1-stockpile-wave1-instructions-sheets-raw-01-png"", ""key"": ""01"", ""concept"": ""01"", ""source_bank"": ""tmp/manus-prea1-stockpile"", ""source_role"": ""source_sheet"", ""source_path"": ""tmp/manus-prea1-stockpile/wave1-instructions/sheets/raw/01.png"", ""expected_asset_type"": ""prea1_functional_sheet"", ""expected_background_mode"": ""raw_sheet"", ""expected_concept_word"": ""01"", ""reviewed_from"": """", ""decision_source"": null, ""sha256"": ""6a148c425bb5f753eb9c118dc777d8222d25c2efca6dc23b72b2ac816939d005"", ""bytes"": 13155215, ""notes"": ""Mechanical REDO: PIL could not open image: cannot identify image file 'C:\\\\dev\\\\PPT-Lesson-Maker-for-Classin\\\\tmp\\\\manus-prea1-stockpile\\\\wave1-instructions\\\\sheets\\\\raw\\\\01.png'"", ""reason_codes"": [""corrupt""], ""source_task_id"": ""CRN24G6CaHLJob4LpxGw8T"", ""source_task_url"": ""https://manus.im/app/CRN24G6CaHLJob4LpxGw8T""}"
raw:sheet:manus-prea1-stockpile:tmp-manus-prea1-stockpile-wave2-tpr-sheets-raw-01-png,01,01,Pre-A1 functional,raw_harvest,tmp/manus-prea1-stockpile,source_sheet,tmp/manus-prea1-stockpile/wave2-tpr/sheets/raw/01.png,SOURCE_CORRUPT,"[""corrupt""]","[""corrupt""]",Mechanical REDO: PIL could not open image: cannot identify image file 'C:\\dev\\PPT-Lesson-Maker-for-Classin\\tmp\\manus-prea1-stockpile\\wave2-tpr\\sheets\\raw\\01.png',,,,"{""asset_id"": ""raw:sheet:manus-prea1-stockpile:tmp-manus-prea1-stockpile-wave2-tpr-sheets-raw-01-png"", ""key"": ""01"", ""concept"": ""01"", ""source_bank"": ""tmp/manus-prea1-stockpile"", ""source_role"": ""source_sheet"", ""source_path"": ""tmp/manus-prea1-stockpile/wave2-tpr/sheets/raw/01.png"", ""expected_asset_type"": ""prea1_functional_sheet"", ""expected_background_mode"": ""raw_sheet"", ""expected_concept_word"": ""01"", ""reviewed_from"": """", ""decision_source"": null, ""sha256"": ""82b652e92494c1319d3fb7ad495d819f03b222274ada3e7d48a2310c4d2be9ae"", ""bytes"": 13265773, ""notes"": ""Mechanical REDO: PIL could not open image: cannot identify image file 'C:\\\\dev\\\\PPT-Lesson-Maker-for-Classin\\\\tmp\\\\manus-prea1-stockpile\\\\wave2-tpr\\\\sheets\\\\raw\\\\01.png'"", ""reason_codes"": [""corrupt""], ""source_task_id"": ""kGY333erxEVCGiSVvokVDD"", ""source_task_url"": ""https://manus.im/app/kGY333erxEVCGiSVvokVDD""}"
raw:sheet:manus-prea1-stockpile:tmp-manus-prea1-stockpile-wave3-relations-sheets-raw-01-png,01,01,Pre-A1 functional,raw_harvest,tmp/manus-prea1-stockpile,source_sheet,tmp/manus-prea1-stockpile/wave3-relations/sheets/raw/01.png,SOURCE_CORRUPT,"[""corrupt""]","[""corrupt""]",Mechanical REDO: PIL could not open image: cannot identify image file 'C:\\dev\\PPT-Lesson-Maker-for-Classin\\tmp\\manus-prea1-stockpile\\wave3-relations\\sheets\\raw\\01.png',,,audit/visual-assets/sheets/repaired/prea1-relations/prea1-relations-samples.jpg,"{""asset_id"": ""raw:sheet:manus-prea1-stockpile:tmp-manus-prea1-stockpile-wave3-relations-sheets-raw-01-png"", ""key"": ""01"", ""concept"": ""01"", ""source_bank"": ""tmp/manus-prea1-stockpile"", ""source_role"": ""source_sheet"", ""source_path"": ""tmp/manus-prea1-stockpile/wave3-relations/sheets/raw/01.png"", ""expected_asset_type"": ""prea1_functional_sheet"", ""expected_background_mode"": ""raw_sheet"", ""expected_concept_word"": ""01"", ""reviewed_from"": """", ""decision_source"": null, ""sha256"": ""8c32be9d618c874651b582651c02d0a47ed6606c0c73481d83c658d359c6e6da"", ""bytes"": 14309358, ""notes"": ""Mechanical REDO: PIL could not open image: cannot identify image file 'C:\\\\dev\\\\PPT-Lesson-Maker-for-Classin\\\\tmp\\\\manus-prea1-stockpile\\\\wave3-relations\\\\sheets\\\\raw\\\\01.png'"", ""reason_codes"": [""corrupt""], ""source_task_id"": ""goSmf8cCjXKXzEZKiCUngA"", ""source_task_url"": ""https://manus.im/app/goSmf8cCjXKXzEZKiCUngA""}"
raw:sheet:manus-prea1-stockpile:tmp-manus-prea1-stockpile-wave4-phonology-sheets-raw-01-png,01,01,Pre-A1 functional,raw_harvest,tmp/manus-prea1-stockpile,source_sheet,tmp/manus-prea1-stockpile/wave4-phonology/sheets/raw/01.png,SOURCE_CORRUPT,"[""corrupt""]","[""corrupt""]",Mechanical REDO: PIL could not open image: cannot identify image file 'C:\\dev\\PPT-Lesson-Maker-for-Classin\\tmp\\manus-prea1-stockpile\\wave4-phonology\\sheets\\raw\\01.png',,,,"{""asset_id"": ""raw:sheet:manus-prea1-stockpile:tmp-manus-prea1-stockpile-wave4-phonology-sheets-raw-01-png"", ""key"": ""01"", ""concept"": ""01"", ""source_bank"": ""tmp/manus-prea1-stockpile"", ""source_role"": ""source_sheet"", ""source_path"": ""tmp/manus-prea1-stockpile/wave4-phonology/sheets/raw/01.png"", ""expected_asset_type"": ""prea1_functional_sheet"", ""expected_background_mode"": ""raw_sheet"", ""expected_concept_word"": ""01"", ""reviewed_from"": """", ""decision_source"": null, ""sha256"": ""c998c0a594e798022ad1810707870e925884f16aea14b467a1a3139764b7ef0a"", ""bytes"": 11393593, ""notes"": ""Mechanical REDO: PIL could not open image: cannot identify image file 'C:\\\\dev\\\\PPT-Lesson-Maker-for-Classin\\\\tmp\\\\manus-prea1-stockpile\\\\wave4-phonology\\\\sheets\\\\raw\\\\01.png'"", ""reason_codes"": [""corrupt""], ""source_task_id"": ""WqmsX38B7NhvywgZCx6MZE"", ""source_task_url"": ""https://manus.im/app/WqmsX38B7NhvywgZCx6MZE""}"
raw:sheet:manus-prea1-stockpile:tmp-manus-prea1-stockpile-wave5-prewriting-sheets-raw-01-png,01,01,Pre-A1 functional,raw_harvest,tmp/manus-prea1-stockpile,source_sheet,tmp/manus-prea1-stockpile/wave5-prewriting/sheets/raw/01.png,SOURCE_CORRUPT,"[""corrupt""]","[""corrupt""]",Mechanical REDO: PIL could not open image: cannot identify image file 'C:\\dev\\PPT-Lesson-Maker-for-Classin\\tmp\\manus-prea1-stockpile\\wave5-prewriting\\sheets\\raw\\01.png',,,,"{""asset_id"": ""raw:sheet:manus-prea1-stockpile:tmp-manus-prea1-stockpile-wave5-prewriting-sheets-raw-01-png"", ""key"": ""01"", ""concept"": ""01"", ""source_bank"": ""tmp/manus-prea1-stockpile"", ""source_role"": ""source_sheet"", ""source_path"": ""tmp/manus-prea1-stockpile/wave5-prewriting/sheets/raw/01.png"", ""expected_asset_type"": ""prea1_functional_sheet"", ""expected_background_mode"": ""raw_sheet"", ""expected_concept_word"": ""01"", ""reviewed_from"": """", ""decision_source"": null, ""sha256"": ""2ae4b47639a8f8d74e5d721a1effaec7409f5ad3728cb197a2ed0f54e18f9b56"", ""bytes"": 13604162, ""notes"": ""Mechanical REDO: PIL could not open image: cannot identify image file 'C:\\\\dev\\\\PPT-Lesson-Maker-for-Classin\\\\tmp\\\\manus-prea1-stockpile\\\\wave5-prewriting\\\\sheets\\\\raw\\\\01.png'"", ""reason_codes"": [""corrupt""], ""source_task_id"": ""frZY8AUykYfExqKXrAHHys"", ""source_task_url"": ""https://manus.im/app/frZY8AUykYfExqKXrAHHys""}"
raw:sheet:manus-b2-stockpile:tmp-manus-b2-stockpile-wave1-sheets-01-png,01,01,B2/raw settings,raw_harvest,tmp/manus-b2-stockpile,source_sheet,tmp/manus-b2-stockpile/wave1/sheets/01.png,SOURCE_CORRUPT,"[""corrupt""]","[""corrupt""]",Mechanical REDO: PIL could not open image: cannot identify image file 'C:\\dev\\PPT-Lesson-Maker-for-Classin\\tmp\\manus-b2-stockpile\\wave1\\sheets\\01.png',,,audit/visual-assets/sheets/repaired/b2-extracted-cells/b2-extracted-cells-samples.jpg,"{""asset_id"": ""raw:sheet:manus-b2-stockpile:tmp-manus-b2-stockpile-wave1-sheets-01-png"", ""key"": ""01"", ""concept"": ""01"", ""source_bank"": ""tmp/manus-b2-stockpile"", ""source_role"": ""source_sheet"", ""source_path"": ""tmp/manus-b2-stockpile/wave1/sheets/01.png"", ""expected_asset_type"": ""vocab_icon"", ""expected_background_mode"": ""raw_sheet"", ""expected_concept_word"": ""01"", ""reviewed_from"": """", ""decision_source"": null, ""sha256"": ""fc5f0c8f80e92f5efd1bd6dad4fbea16bcc0b8aa6ed1963762d05a0fa31f6d92"", ""bytes"": 43637936, ""notes"": ""Mechanical REDO: PIL could not open image: cannot identify image file 'C:\\\\dev\\\\PPT-Lesson-Maker-for-Classin\\\\tmp\\\\manus-b2-stockpile\\\\wave1\\\\sheets\\\\01.png'"", ""reason_codes"": [""corrupt""]}"
raw:sheet:manus-b2-stockpile:tmp-manus-b2-stockpile-wave10-sheets-01-png,01,01,B2/raw settings,raw_harvest,tmp/manus-b2-stockpile,source_sheet,tmp/manus-b2-stockpile/wave10/sheets/01.png,SOURCE_CORRUPT,"[""corrupt""]","[""corrupt""]",Mechanical REDO: PIL could not open image: cannot identify image file 'C:\\dev\\PPT-Lesson-Maker-for-Classin\\tmp\\manus-b2-stockpile\\wave10\\sheets\\01.png',,,audit/visual-assets/sheets/repaired/b2-extracted-cells/b2-extracted-cells-samples.jpg,"{""asset_id"": ""raw:sheet:manus-b2-stockpile:tmp-manus-b2-stockpile-wave10-sheets-01-png"", ""key"": ""01"", ""concept"": ""01"", ""source_bank"": ""tmp/manus-b2-stockpile"", ""source_role"": ""source_sheet"", ""source_path"": ""tmp/manus-b2-stockpile/wave10/sheets/01.png"", ""expected_asset_type"": ""vocab_icon"", ""expected_background_mode"": ""raw_sheet"", ""expected_concept_word"": ""01"", ""reviewed_from"": """", ""decision_source"": null, ""sha256"": ""8e77cc4494fbbc38cd1e5a99d445e7d24eb8f3946feec5daca25543f7586855c"", ""bytes"": 35947357, ""notes"": ""Mechanical REDO: PIL could not open image: cannot identify image file 'C:\\\\dev\\\\PPT-Lesson-Maker-for-Classin\\\\tmp\\\\manus-b2-stockpile\\\\wave10\\\\sheets\\\\01.png'"", ""reason_codes"": [""corrupt""]}"
raw:sheet:manus-b2-stockpile:tmp-manus-b2-stockpile-wave10-sheets-02-png,02,02,B2/raw settings,raw_harvest,tmp/manus-b2-stockpile,source_sheet,tmp/manus-b2-stockpile/wave10/sheets/02.png,SOURCE_CORRUPT,"[""corrupt""]","[""corrupt""]",Mechanical REDO: PIL could not open image: cannot identify image file 'C:\\dev\\PPT-Lesson-Maker-for-Classin\\tmp\\manus-b2-stockpile\\wave10\\sheets\\02.png',,,audit/visual-assets/sheets/repaired/b2-extracted-cells/b2-extracted-cells-samples.jpg,"{""asset_id"": ""raw:sheet:manus-b2-stockpile:tmp-manus-b2-stockpile-wave10-sheets-02-png"", ""key"": ""02"", ""concept"": ""02"", ""source_bank"": ""tmp/manus-b2-stockpile"", ""source_role"": ""source_sheet"", ""source_path"": ""tmp/manus-b2-stockpile/wave10/sheets/02.png"", ""expected_asset_type"": ""vocab_icon"", ""expected_background_mode"": ""raw_sheet"", ""expected_concept_word"": ""02"", ""reviewed_from"": """", ""decision_source"": null, ""sha256"": ""63210df807c652fc91e53c049cd6dabbad08c8dc7fa925f8b5055c7a2ca3a25d"", ""bytes"": 1513, ""notes"": ""Mechanical REDO: PIL could not open image: cannot identify image file 'C:\\\\dev\\\\PPT-Lesson-Maker-for-Classin\\\\tmp\\\\manus-b2-stockpile\\\\wave10\\\\sheets\\\\02.png'"", ""reason_codes"": [""corrupt""]}"
raw:sheet:manus-b2-stockpile:tmp-manus-b2-stockpile-wave2-sheets-01-png,01,01,B2/raw settings,raw_harvest,tmp/manus-b2-stockpile,source_sheet,tmp/manus-b2-stockpile/wave2/sheets/01.png,SOURCE_CORRUPT,"[""corrupt""]","[""corrupt""]",Mechanical REDO: PIL could not open image: cannot identify image file 'C:\\dev\\PPT-Lesson-Maker-for-Classin\\tmp\\manus-b2-stockpile\\wave2\\sheets\\01.png',,,audit/visual-assets/sheets/repaired/b2-extracted-cells/b2-extracted-cells-samples.jpg,"{""asset_id"": ""raw:sheet:manus-b2-stockpile:tmp-manus-b2-stockpile-wave2-sheets-01-png"", ""key"": ""01"", ""concept"": ""01"", ""source_bank"": ""tmp/manus-b2-stockpile"", ""source_role"": ""source_sheet"", ""source_path"": ""tmp/manus-b2-stockpile/wave2/sheets/01.png"", ""expected_asset_type"": ""vocab_icon"", ""expected_background_mode"": ""raw_sheet"", ""expected_concept_word"": ""01"", ""reviewed_from"": """", ""decision_source"": null, ""sha256"": ""2f2fc4f26b6ffe7bccd1fe6a4cec3daa4a5947179634442dbe1d2b0dc3f84c4c"", ""bytes"": 37775905, ""notes"": ""Mechanical REDO: PIL could not open image: cannot identify image file 'C:\\\\dev\\\\PPT-Lesson-Maker-for-Classin\\\\tmp\\\\manus-b2-stockpile\\\\wave2\\\\sheets\\\\01.png'"", ""reason_codes"": [""corrupt""]}"
raw:sheet:manus-b2-stockpile:tmp-manus-b2-stockpile-wave3-sheets-01-png,01,01,B2/raw settings,raw_harvest,tmp/manus-b2-stockpile,source_sheet,tmp/manus-b2-stockpile/wave3/sheets/01.png,SOURCE_CORRUPT,"[""corrupt""]","[""corrupt""]",Mechanical REDO: PIL could not open image: cannot identify image file 'C:\\dev\\PPT-Lesson-Maker-for-Classin\\tmp\\manus-b2-stockpile\\wave3\\sheets\\01.png',,,audit/visual-assets/sheets/repaired/b2-extracted-cells/b2-extracted-cells-samples.jpg,"{""asset_id"": ""raw:sheet:manus-b2-stockpile:tmp-manus-b2-stockpile-wave3-sheets-01-png"", ""key"": ""01"", ""concept"": ""01"", ""source_bank"": ""tmp/manus-b2-stockpile"", ""source_role"": ""source_sheet"", ""source_path"": ""tmp/manus-b2-stockpile/wave3/sheets/01.png"", ""expected_asset_type"": ""vocab_icon"", ""expected_background_mode"": ""raw_sheet"", ""expected_concept_word"": ""01"", ""reviewed_from"": """", ""decision_source"": null, ""sha256"": ""4bf53578f34ae6c0056503db6a201f1f51c44067f3490e09d843c795b4820448"", ""bytes"": 41831034, ""notes"": ""Mechanical REDO: PIL could not open image: cannot identify image file 'C:\\\\dev\\\\PPT-Lesson-Maker-for-Classin\\\\tmp\\\\manus-b2-stockpile\\\\wave3\\\\sheets\\\\01.png'"", ""reason_codes"": [""corrupt""]}"
