asset_id,key,concept,major_family,live_vs_raw_harvest,source_bank,source_role,path,final_disposition,final_reason_codes,reason_codes,notes,final_review_follow_up,reviewed_from,repair_evidence_sheet,source_provenance
live:vocab:chime,chime,chime,vocab,live,07_vocab-pack,production_asset,public/assets/07_vocab-pack/img/chime.png,PIPELINE_REBUILD,"[""blank"", ""missing""]","[""blank"", ""missing""]",Empty blank white tile with no graphic content.,,audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-035.jpg,audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-035.jpg,"{""asset_id"": ""live:vocab:chime"", ""key"": ""chime"", ""concept"": ""chime"", ""source_bank"": ""07_vocab-pack"", ""source_role"": ""production_asset"", ""source_path"": ""public/assets/07_vocab-pack/img/chime.png"", ""expected_asset_type"": ""vocab_icon"", ""expected_background_mode"": ""icon_image"", ""expected_concept_word"": ""chime"", ""reviewed_from"": ""audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-035.jpg"", ""decision_source"": ""audit/visual-assets/decisions-vocab-001-075.jsonl"", ""sha256"": ""44a9afeaefa91689ecfd579e6e4bbd5884bc0c2ca5a42aa42c6445d6f3b5a36c"", ""bytes"": 4764, ""notes"": ""Empty blank white tile with no graphic content."", ""reason_codes"": [""blank"", ""missing""]}"
live:vocab:duty-free-bag,duty-free-bag,duty free bag,vocab,live,07_vocab-pack,production_asset,public/assets/07_vocab-pack/img/duty-free-bag.png,PIPELINE_REBUILD,"[""bad_alpha"", ""blank""]","[""bad_alpha"", ""blank""]",Keyed out shopping bag with only floating handles visible.,,audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-063.jpg,audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-063.jpg,"{""asset_id"": ""live:vocab:duty-free-bag"", ""key"": ""duty-free-bag"", ""concept"": ""duty free bag"", ""source_bank"": ""07_vocab-pack"", ""source_role"": ""production_asset"", ""source_path"": ""public/assets/07_vocab-pack/img/duty-free-bag.png"", ""expected_asset_type"": ""vocab_icon"", ""expected_background_mode"": ""icon_image"", ""expected_concept_word"": ""duty free bag"", ""reviewed_from"": ""audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-063.jpg"", ""decision_source"": ""audit/visual-assets/decisions-vocab-001-075.jsonl"", ""sha256"": ""412f90ef6ca96a7d38108ddcdec6f5da02227bb32db5b1bb6dc7b0dc9cb84dfe"", ""bytes"": 16517, ""notes"": ""Keyed out shopping bag with only floating handles visible."", ""reason_codes"": [""bad_alpha"", ""blank""]}"
live:vocab:poster,poster,poster,vocab,live,07_vocab-pack,production_asset,public/assets/07_vocab-pack/img/poster.png,PIPELINE_REBUILD,"[""blank""]","[""blank""]",Blank white canvas with four corner dots; unreadable/empty.,,audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-150.jpg,audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-150.jpg,"{""asset_id"": ""live:vocab:poster"", ""key"": ""poster"", ""concept"": ""poster"", ""source_bank"": ""07_vocab-pack"", ""source_role"": ""production_asset"", ""source_path"": ""public/assets/07_vocab-pack/img/poster.png"", ""expected_asset_type"": ""vocab_icon"", ""expected_background_mode"": ""icon_image"", ""expected_concept_word"": ""poster"", ""reviewed_from"": ""audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-150.jpg"", ""decision_source"": ""audit/visual-assets/decisions-vocab-076-150.jsonl"", ""sha256"": ""112e6b8b29857ac77efb038a6e65db156603cc40ef0e51b39600b028e618826d"", ""bytes"": 3909, ""notes"": ""Blank white canvas with four corner dots; unreadable/empty."", ""reason_codes"": [""blank""]}"
live:vocab:prefix,prefix,prefix,vocab,live,07_vocab-pack,production_asset,public/assets/07_vocab-pack/img/prefix.png,PIPELINE_REBUILD,"[""wrong_background_mode""]","[""wrong_background_mode""]",Abstract row of blocks with one detached; meaningless/confusing abstraction for young learners.,,audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-151.jpg,audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-151.jpg,"{""asset_id"": ""live:vocab:prefix"", ""key"": ""prefix"", ""concept"": ""prefix"", ""source_bank"": ""07_vocab-pack"", ""source_role"": ""production_asset"", ""source_path"": ""public/assets/07_vocab-pack/img/prefix.png"", ""expected_asset_type"": ""vocab_icon"", ""expected_background_mode"": ""icon_image"", ""expected_concept_word"": ""prefix"", ""reviewed_from"": ""audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-151.jpg"", ""decision_source"": ""audit/visual-assets/decisions-vocab-151-225.jsonl"", ""sha256"": ""0f26c0a3fb3d01215796c2a7521620552205288dded7136d2a3b4335f5fa2709"", ""bytes"": 25503, ""notes"": ""Abstract row of blocks with one detached; meaningless/confusing abstraction for young learners."", ""reason_codes"": [""wrong_background_mode""]}"
live:vocab:prejudice,prejudice,prejudice,vocab,live,07_vocab-pack,production_asset,public/assets/07_vocab-pack/img/prejudice.png,PIPELINE_REBUILD,"[""wrong_background_mode""]","[""wrong_background_mode""]",Drama masks separated by brick wall; abstract and confusing concept illustration for children.,,audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-151.jpg,audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-151.jpg,"{""asset_id"": ""live:vocab:prejudice"", ""key"": ""prejudice"", ""concept"": ""prejudice"", ""source_bank"": ""07_vocab-pack"", ""source_role"": ""production_asset"", ""source_path"": ""public/assets/07_vocab-pack/img/prejudice.png"", ""expected_asset_type"": ""vocab_icon"", ""expected_background_mode"": ""icon_image"", ""expected_concept_word"": ""prejudice"", ""reviewed_from"": ""audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-151.jpg"", ""decision_source"": ""audit/visual-assets/decisions-vocab-151-225.jsonl"", ""sha256"": ""1afae060f5c92cf0f85bfcd347191b0c03630b240e2e1979f59c426a313abd37"", ""bytes"": 38485, ""notes"": ""Drama masks separated by brick wall; abstract and confusing concept illustration for children."", ""reason_codes"": [""wrong_background_mode""]}"
live:vocab:previous,previous,previous,vocab,live,07_vocab-pack,production_asset,public/assets/07_vocab-pack/img/previous.png,PIPELINE_REBUILD,"[""wrong_background_mode""]","[""wrong_background_mode""]",Bare footprints; ambiguous and unclear for 'previous'.,,audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-151.jpg,audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-151.jpg,"{""asset_id"": ""live:vocab:previous"", ""key"": ""previous"", ""concept"": ""previous"", ""source_bank"": ""07_vocab-pack"", ""source_role"": ""production_asset"", ""source_path"": ""public/assets/07_vocab-pack/img/previous.png"", ""expected_asset_type"": ""vocab_icon"", ""expected_background_mode"": ""icon_image"", ""expected_concept_word"": ""previous"", ""reviewed_from"": ""audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-151.jpg"", ""decision_source"": ""audit/visual-assets/decisions-vocab-151-225.jsonl"", ""sha256"": ""9c355adcbee2c22843628f2acc02b4fadfdca73602294e89f690ab8453e749ab"", ""bytes"": 33920, ""notes"": ""Bare footprints; ambiguous and unclear for 'previous'."", ""reason_codes"": [""wrong_background_mode""]}"
live:vocab:principle,principle,principle,vocab,live,07_vocab-pack,production_asset,public/assets/07_vocab-pack/img/principle.png,PIPELINE_REBUILD,"[""wrong_background_mode""]","[""wrong_background_mode""]",Stack of plain blocks; unreadable abstraction for 'principle'.,,audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-152.jpg,audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-152.jpg,"{""asset_id"": ""live:vocab:principle"", ""key"": ""principle"", ""concept"": ""principle"", ""source_bank"": ""07_vocab-pack"", ""source_role"": ""production_asset"", ""source_path"": ""public/assets/07_vocab-pack/img/principle.png"", ""expected_asset_type"": ""vocab_icon"", ""expected_background_mode"": ""icon_image"", ""expected_concept_word"": ""principle"", ""reviewed_from"": ""audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-152.jpg"", ""decision_source"": ""audit/visual-assets/decisions-vocab-151-225.jsonl"", ""sha256"": ""00c1d390b166d8b50720ee82b2322dc84ea579f14fa054d2c222edb1edd11f54"", ""bytes"": 63178, ""notes"": ""Stack of plain blocks; unreadable abstraction for 'principle'."", ""reason_codes"": [""wrong_background_mode""]}"
live:vocab:program,program,program,vocab,live,07_vocab-pack,production_asset,public/assets/07_vocab-pack/img/program.png,PIPELINE_REBUILD,"[""wrong_background_mode""]","[""wrong_background_mode""]",Remote control next to layout boxes; confusing abstraction.,,audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-152.jpg,audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-152.jpg,"{""asset_id"": ""live:vocab:program"", ""key"": ""program"", ""concept"": ""program"", ""source_bank"": ""07_vocab-pack"", ""source_role"": ""production_asset"", ""source_path"": ""public/assets/07_vocab-pack/img/program.png"", ""expected_asset_type"": ""vocab_icon"", ""expected_background_mode"": ""icon_image"", ""expected_concept_word"": ""program"", ""reviewed_from"": ""audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-152.jpg"", ""decision_source"": ""audit/visual-assets/decisions-vocab-151-225.jsonl"", ""sha256"": ""e6d31888ce62d49503ee97981cb1ce9422398c949c96f2db0f5eff188aedc017"", ""bytes"": 47983, ""notes"": ""Remote control next to layout boxes; confusing abstraction."", ""reason_codes"": [""wrong_background_mode""]}"
live:vocab:pronoun,pronoun,pronoun,vocab,live,07_vocab-pack,production_asset,public/assets/07_vocab-pack/img/pronoun.png,PIPELINE_REBUILD,"[""wrong_background_mode""]","[""wrong_background_mode""]",ID badge avatar; does not convey grammatical 'pronoun'.,,audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-153.jpg,audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-153.jpg,"{""asset_id"": ""live:vocab:pronoun"", ""key"": ""pronoun"", ""concept"": ""pronoun"", ""source_bank"": ""07_vocab-pack"", ""source_role"": ""production_asset"", ""source_path"": ""public/assets/07_vocab-pack/img/pronoun.png"", ""expected_asset_type"": ""vocab_icon"", ""expected_background_mode"": ""icon_image"", ""expected_concept_word"": ""pronoun"", ""reviewed_from"": ""audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-153.jpg"", ""decision_source"": ""audit/visual-assets/decisions-vocab-151-225.jsonl"", ""sha256"": ""5b5cbdfc39fdf866e3d3925aab4a96c640c799e30f111c6b49978ad4773e2c06"", ""bytes"": 56651, ""notes"": ""ID badge avatar; does not convey grammatical 'pronoun'."", ""reason_codes"": [""wrong_background_mode""]}"
live:vocab:protein-powder,protein-powder,protein powder,vocab,live,07_vocab-pack,production_asset,public/assets/07_vocab-pack/img/protein-powder.png,PIPELINE_REBUILD,"[""blank""]","[""blank""]","Faint near-invisible white outline jar, almost completely blank.",,audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-153.jpg,audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-153.jpg,"{""asset_id"": ""live:vocab:protein-powder"", ""key"": ""protein-powder"", ""concept"": ""protein powder"", ""source_bank"": ""07_vocab-pack"", ""source_role"": ""production_asset"", ""source_path"": ""public/assets/07_vocab-pack/img/protein-powder.png"", ""expected_asset_type"": ""vocab_icon"", ""expected_background_mode"": ""icon_image"", ""expected_concept_word"": ""protein powder"", ""reviewed_from"": ""audit/visual-assets/sheets/pending_visual/07-vocab-pack-vocab-icon-generated-153.jpg"", ""decision_source"": ""audit/visual-assets/decisions-vocab-151-225.jsonl"", ""sha256"": ""f5d98fd0abf072e54393156e2033f42a088a16486a5427bde9b688f225c01fc6"", ""bytes"": 26293, ""notes"": ""Faint near-invisible white outline jar, almost completely blank."", ""reason_codes"": [""blank""]}"
