lesson,title,page,filename,dimensions
1,Hello and Goodbye,1,lesson-01-page-01.png,1920x1080
1,Hello and Goodbye,2,lesson-01-page-02.png,1920x1080
1,Hello and Goodbye,3,lesson-01-page-03.png,1920x1080
1,Hello and Goodbye,4,lesson-01-page-04.png,1920x1080
1,Hello and Goodbye,5,lesson-01-page-05.png,1920x1080
1,Hello and Goodbye,6,lesson-01-page-06.png,1920x1080
1,Hello and Goodbye,7,lesson-01-page-07.png,1920x1080
1,Hello and Goodbye,8,lesson-01-page-08.png,1920x1080
1,Hello and Goodbye,9,lesson-01-page-09.png,1920x1080
1,Hello and Goodbye,10,lesson-01-page-10.png,1920x1080
2,My Name Is…,1,lesson-02-page-01.png,1920x1080
2,My Name Is…,2,lesson-02-page-02.png,1920x1080
2,My Name Is…,3,lesson-02-page-03.png,1920x1080
2,My Name Is…,4,lesson-02-page-04.png,1920x1080
2,My Name Is…,5,lesson-02-page-05.png,1920x1080
2,My Name Is…,6,lesson-02-page-06.png,1920x1080
2,My Name Is…,7,lesson-02-page-07.png,1920x1080
2,My Name Is…,8,lesson-02-page-08.png,1920x1080
2,My Name Is…,9,lesson-02-page-09.png,1920x1080
2,My Name Is…,10,lesson-02-page-10.png,1920x1080
3,What’s Your Name?,1,lesson-03-page-01.png,1920x1080
3,What’s Your Name?,2,lesson-03-page-02.png,1920x1080
3,What’s Your Name?,3,lesson-03-page-03.png,1920x1080
3,What’s Your Name?,4,lesson-03-page-04.png,1920x1080
3,What’s Your Name?,5,lesson-03-page-05.png,1920x1080
3,What’s Your Name?,6,lesson-03-page-06.png,1920x1080
3,What’s Your Name?,7,lesson-03-page-07.png,1920x1080
3,What’s Your Name?,8,lesson-03-page-08.png,1920x1080
3,What’s Your Name?,9,lesson-03-page-09.png,1920x1080
3,What’s Your Name?,10,lesson-03-page-10.png,1920x1080
4,Nice to Meet You,1,lesson-04-page-01.png,1920x1080
4,Nice to Meet You,2,lesson-04-page-02.png,1920x1080
4,Nice to Meet You,3,lesson-04-page-03.png,1920x1080
4,Nice to Meet You,4,lesson-04-page-04.png,1920x1080
4,Nice to Meet You,5,lesson-04-page-05.png,1920x1080
4,Nice to Meet You,6,lesson-04-page-06.png,1920x1080
4,Nice to Meet You,7,lesson-04-page-07.png,1920x1080
4,Nice to Meet You,8,lesson-04-page-08.png,1920x1080
4,Nice to Meet You,9,lesson-04-page-09.png,1920x1080
4,Nice to Meet You,10,lesson-04-page-10.png,1920x1080
5,Meet the Class,1,lesson-05-page-01.png,1920x1080
5,Meet the Class,2,lesson-05-page-02.png,1920x1080
5,Meet the Class,3,lesson-05-page-03.png,1920x1080
5,Meet the Class,4,lesson-05-page-04.png,1920x1080
5,Meet the Class,5,lesson-05-page-05.png,1920x1080
5,Meet the Class,6,lesson-05-page-06.png,1920x1080
5,Meet the Class,7,lesson-05-page-07.png,1920x1080
5,Meet the Class,8,lesson-05-page-08.png,1920x1080
5,Meet the Class,9,lesson-05-page-09.png,1920x1080
5,Meet the Class,10,lesson-05-page-10.png,1920x1080
