word,pos,CEFR-J level,exact asset exists,already in curated dictionary,already found by open-world discovery
afraid,adjective,A1,no,no,no
all right,adjective,A1,no,no,no
angry,adjective,A1,yes,no,no
awake,adjective,A1,no,no,no
bad,adjective,A1,no,no,no
beautiful,adjective,A1,no,no,no
best,adjective,A1,no,no,no
better,adjective,A1,no,no,no
big,adjective,A1,no,no,no
black,adjective,A1,no,no,no
blank,adjective,A1,no,no,no
blue,adjective,A1,no,no,no
boring,adjective,A1,no,no,no
bright,adjective,A1,no,no,no
broken,adjective,A1,no,no,no
brown,adjective,A1,no,no,no
busy,adjective,A1,no,no,no
careful,adjective,A1,no,no,no
clean,adjective,A1,yes,no,no
clever,adjective,A1,no,no,no
close,adjective,A1,yes,no,no
closed,adjective,A1,no,no,no
cloudy,adjective,A1,yes,yes,no
cold,adjective,A1,yes,yes,no
cool,adjective,A1,no,no,no
correct,adjective,A1,no,no,no
cute,adjective,A1,no,no,no
dark,adjective,A1,no,no,no
dear,adjective,A1,no,no,no
delicious,adjective,A1,yes,no,no
different,adjective,A1,no,no,no
difficult,adjective,A1,no,no,no
dirty,adjective,A1,no,no,no
dry,adjective,A1,yes,no,no
due,adjective,A1,no,no,no
easy,adjective,A1,no,no,no
elementary,adjective,A1,no,no,no
everyday,adjective,A1,no,no,no
excellent,adjective,A1,no,no,no
excited,adjective,A1,yes,no,no
exciting,adjective,A1,no,no,no
expensive,adjective,A1,no,no,no
fair,adjective,A1,no,no,no
false,adjective,A1,no,no,no
famous,adjective,A1,no,no,no
fast,adjective,A1,no,no,no
fat,adjective,A1,no,no,no
favorite,adjective,A1,no,no,no
fine,adjective,A1,no,no,no
first,adjective,A1,no,no,no
foggy,adjective,A1,no,no,no
following,adjective,A1,no,no,no
foreign,adjective,A1,no,no,no
free,adjective,A1,no,no,no
front,adjective,A1,no,no,no
full,adjective,A1,yes,no,no
fun,adjective,A1,no,no,no
funny,adjective,A1,no,no,no
glad,adjective,A1,no,no,no
gold,adjective,A1,no,no,no
good,adjective,A1,no,no,no
gray,adjective,A1,no,no,no
great,adjective,A1,no,no,no
green,adjective,A1,no,no,no
handsome,adjective,A1,no,no,no
happy,adjective,A1,yes,no,no
hard,adjective,A1,no,no,no
healthy,adjective,A1,no,no,no
heavy,adjective,A1,no,no,no
high,adjective,A1,no,no,no
hot,adjective,A1,yes,yes,no
hungry,adjective,A1,yes,no,no
ideal,adjective,A1,no,no,no
important,adjective,A1,no,no,no
interested,adjective,A1,no,no,no
interesting,adjective,A1,no,no,no
key,adjective,A1,yes,yes,no
large,adjective,A1,no,no,no
late,adjective,A1,no,no,no
lazy,adjective,A1,no,no,no
left,adjective,A1,no,no,no
light,adjective,A1,no,no,no
little,adjective,A1,no,no,no
living,adjective,A1,no,no,no
lonely,adjective,A1,no,no,no
long,adjective,A1,no,no,no
lovely,adjective,A1,no,no,no
lucky,adjective,A1,no,no,no
merry,adjective,A1,no,no,no
middle,adjective,A1,no,no,no
new,adjective,A1,no,no,no
nice,adjective,A1,no,no,no
off,adjective,A1,no,no,no
ok,adjective,A1,no,no,no
old,adjective,A1,no,no,no
only,adjective,A1,no,no,no
open,adjective,A1,yes,no,no
orange,adjective,A1,yes,yes,no
own,adjective,A1,no,no,no
personal,adjective,A1,no,no,no
pink,adjective,A1,no,no,no
poor,adjective,A1,no,no,no
pretty,adjective,A1,no,no,no
quiet,adjective,A1,yes,yes,no
rainy,adjective,A1,yes,yes,no
ready,adjective,A1,no,no,no
real,adjective,A1,no,no,no
red,adjective,A1,no,no,no
rich,adjective,A1,no,no,no
right,adjective,A1,no,no,no
rude,adjective,A1,no,no,no
sad,adjective,A1,yes,no,no
same,adjective,A1,no,no,no
second,adjective,A1,no,no,no
short,adjective,A1,no,no,no
shy,adjective,A1,yes,no,no
sick,adjective,A1,yes,no,no
slow,adjective,A1,no,no,no
small,adjective,A1,yes,no,no
smart,adjective,A1,no,no,no
snowy,adjective,A1,yes,yes,no
social,adjective,A1,no,no,no
sorry,adjective,A1,no,no,no
special,adjective,A1,no,no,no
still,adjective,A1,no,no,no
strange,adjective,A1,no,no,no
strict,adjective,A1,no,no,no
strong,adjective,A1,no,no,no
successful,adjective,A1,no,no,no
sunny,adjective,A1,yes,yes,no
super,adjective,A1,no,no,no
