word,pos,CEFR-J level,exact asset exists,already in curated dictionary,already found by open-world discovery
action,noun,A1,no,no,no
activity,noun,A1,no,no,no
actor,noun,A1,no,no,no
address,noun,A1,no,no,no
afternoon,noun,A1,no,no,no
age,noun,A1,no,no,no
airplane,noun,A1,no,no,no
airport,noun,A1,yes,yes,no
album,noun,A1,no,no,no
animal,noun,A1,no,no,no
answer,noun,A1,yes,no,no
apple,noun,A1,yes,no,no
april,noun,A1,no,no,no
apron,noun,A1,yes,yes,yes
arm,noun,A1,yes,no,no
art,noun,A1,yes,no,no
article,noun,A1,no,no,no
august,noun,A1,no,no,no
aunt,noun,A1,yes,yes,no
autumn,noun,A1,no,no,no
baby,noun,A1,yes,yes,no
back,noun,A1,no,no,no
bag,noun,A1,yes,yes,no
ball,noun,A1,yes,yes,no
banana,noun,A1,yes,no,no
band,noun,A1,no,no,no
bank,noun,A1,yes,yes,no
bar,noun,A1,no,no,no
baseball,noun,A1,yes,no,no
basketball,noun,A1,yes,yes,no
bat,noun,A1,yes,no,yes
bath,noun,A1,no,no,no
bathroom,noun,A1,no,no,no
beach,noun,A1,yes,yes,no
bean,noun,A1,yes,no,no
bear,noun,A1,yes,yes,no
bed,noun,A1,yes,yes,no
bedroom,noun,A1,no,no,no
bee,noun,A1,yes,yes,no
beef,noun,A1,no,no,no
bell,noun,A1,yes,no,no
bicycle,noun,A1,yes,no,no
bike,noun,A1,yes,yes,no
bird,noun,A1,yes,yes,no
birth,noun,A1,no,no,no
birthday,noun,A1,yes,yes,no
biscuit,noun,A1,yes,no,no
black,noun,A1,no,no,no
block,noun,A1,yes,no,no
blue,noun,A1,no,no,no
board,noun,A1,yes,no,no
boat,noun,A1,yes,yes,no
body,noun,A1,no,no,no
bone,noun,A1,yes,yes,no
book,noun,A1,yes,yes,no
bookstore,noun,A1,no,no,no
bottle,noun,A1,no,no,no
bottom,noun,A1,no,no,no
bowl,noun,A1,yes,yes,no
box,noun,A1,yes,no,no
boy,noun,A1,no,no,no
boyfriend,noun,A1,no,no,no
brain,noun,A1,yes,no,yes
bread,noun,A1,yes,no,no
breakfast,noun,A1,no,no,no
bridge,noun,A1,yes,yes,no
brother,noun,A1,yes,yes,no
brush,noun,A1,yes,yes,yes
bucket,noun,A1,yes,yes,no
building,noun,A1,yes,yes,no
burger,noun,A1,yes,no,no
bus,noun,A1,yes,yes,no
business,noun,A1,no,no,no
butter,noun,A1,yes,no,no
butterfly,noun,A1,yes,yes,yes
button,noun,A1,yes,yes,yes
bye,noun,A1,no,no,no
cafe,noun,A1,no,no,no
cake,noun,A1,yes,yes,no
call,noun,A1,yes,no,no
camera,noun,A1,yes,yes,no
camp,noun,A1,yes,yes,no
candy,noun,A1,yes,no,no
cap,noun,A1,yes,no,yes
car,noun,A1,yes,yes,no
card,noun,A1,yes,yes,no
care,noun,A1,no,no,no
cartoon,noun,A1,yes,no,no
case,noun,A1,no,no,no
cat,noun,A1,yes,yes,no
catch,noun,A1,yes,no,no
cd,noun,A1,no,no,no
cd player,noun,A1,no,no,no
celebration,noun,A1,no,no,no
chair,noun,A1,yes,no,no
change,noun,A1,no,no,no
character,noun,A1,no,no,no
check,noun,A1,no,no,no
cheese,noun,A1,yes,yes,no
chicken,noun,A1,yes,yes,no
child,noun,A1,no,no,no
chocolate,noun,A1,yes,yes,no
church,noun,A1,yes,yes,no
cinema,noun,A1,yes,no,no
circle,noun,A1,no,yes,no
city,noun,A1,yes,yes,no
class,noun,A1,no,no,no
classmate,noun,A1,no,no,no
classroom,noun,A1,yes,no,no
climb,noun,A1,yes,no,no
clock,noun,A1,yes,yes,no
cloth,noun,A1,yes,yes,no
clothes,noun,A1,yes,no,no
cloud,noun,A1,yes,yes,yes
club,noun,A1,yes,no,no
coach,noun,A1,yes,yes,no
coat,noun,A1,yes,yes,no
code,noun,A1,no,no,no
coffee,noun,A1,yes,yes,no
coke,noun,A1,no,no,no
cold,noun,A1,yes,yes,no
collection,noun,A1,no,no,no
college,noun,A1,no,no,no
color,noun,A1,yes,no,no
computer,noun,A1,yes,yes,no
concert,noun,A1,no,no,no
contest,noun,A1,no,no,no
conversation,noun,A1,no,no,no
cook,noun,A1,yes,yes,no
cookie,noun,A1,yes,yes,no
cop,noun,A1,no,no,no
copy,noun,A1,yes,no,no
corn,noun,A1,yes,yes,no
corner,noun,A1,no,no,no
couch,noun,A1,yes,yes,no
course,noun,A1,no,no,no
cousin,noun,A1,yes,yes,no
cover,noun,A1,yes,yes,no
cow,noun,A1,yes,yes,no
cream,noun,A1,yes,yes,no
credit card,noun,A1,yes,no,no
cry,noun,A1,yes,no,no
culture,noun,A1,no,no,no
cup,noun,A1,yes,yes,no
dad,noun,A1,no,no,no
daddy,noun,A1,no,no,no
dance,noun,A1,yes,no,no
dancing,noun,A1,no,no,no
date,noun,A1,yes,no,no
daughter,noun,A1,no,no,no
day,noun,A1,no,no,no
december,noun,A1,no,no,no
design,noun,A1,no,no,no
desk,noun,A1,yes,yes,no
dictionary,noun,A1,yes,no,no
difference,noun,A1,no,no,no
dig,noun,A1,yes,no,no
dining room,noun,A1,no,no,no
dinner,noun,A1,yes,yes,no
dish,noun,A1,yes,yes,no
doctor,noun,A1,yes,yes,no
dog,noun,A1,yes,yes,no
doll,noun,A1,yes,yes,no
dollar,noun,A1,no,no,no
door,noun,A1,yes,yes,no
drama,noun,A1,yes,no,no
dream,noun,A1,no,no,no
dress,noun,A1,yes,yes,no
drink,noun,A1,yes,no,no
drive,noun,A1,yes,no,no
driver,noun,A1,no,no,no
drum,noun,A1,yes,yes,yes
dvd,noun,A1,no,no,no
ear,noun,A1,yes,no,no
egg,noun,A1,yes,yes,no
email,noun,A1,no,no,no
end,noun,A1,no,no,no
engineer,noun,A1,yes,yes,no
evening,noun,A1,no,no,no
event,noun,A1,no,no,no
example,noun,A1,no,no,no
excuse,noun,A1,no,no,no
eye,noun,A1,yes,no,no
face,noun,A1,yes,no,no
factory,noun,A1,yes,yes,no
fairy,noun,A1,yes,yes,no
family,noun,A1,yes,yes,no
fan,noun,A1,yes,yes,no
farm,noun,A1,yes,yes,no
farmer,noun,A1,yes,yes,no
father,noun,A1,yes,yes,no
favorite,noun,A1,no,no,no
february,noun,A1,no,no,no
feed,noun,A1,yes,no,no
feeling,noun,A1,no,no,no
festival,noun,A1,yes,no,no
fever,noun,A1,no,no,no
field,noun,A1,yes,yes,no
fight,noun,A1,no,no,no
file,noun,A1,yes,no,yes
finish,noun,A1,no,no,no
fire,noun,A1,yes,no,no
fish,noun,A1,yes,yes,no
fishing,noun,A1,yes,yes,no
flag,noun,A1,yes,yes,no
flat,noun,A1,no,no,no
floor,noun,A1,yes,yes,no
flower,noun,A1,yes,no,no
fly,noun,A1,yes,no,no
food,noun,A1,no,no,no
football,noun,A1,yes,no,no
foreigner,noun,A1,no,no,no
form,noun,A1,no,no,no
friday,noun,A1,no,no,no
friend,noun,A1,yes,yes,no
frog,noun,A1,yes,yes,yes
fruit,noun,A1,yes,yes,no
fun,noun,A1,no,no,no
future,noun,A1,no,no,no
game,noun,A1,yes,no,no
garbage,noun,A1,no,no,no
garden,noun,A1,yes,yes,no
ghost,noun,A1,no,no,no
gift,noun,A1,yes,yes,no
girl,noun,A1,no,no,no
girlfriend,noun,A1,no,no,no
glass,noun,A1,yes,yes,no
glasses,noun,A1,yes,yes,no
goal,noun,A1,yes,yes,no
grade,noun,A1,no,no,no
grammar,noun,A1,no,no,no
grandfather,noun,A1,yes,no,no
grandma,noun,A1,yes,yes,no
grandmother,noun,A1,yes,no,no
grandpa,noun,A1,yes,yes,no
grandparent,noun,A1,no,no,no
grape,noun,A1,yes,yes,no
grass,noun,A1,yes,yes,no
gray,noun,A1,no,no,no
ground,noun,A1,no,no,no
group,noun,A1,no,no,no
guest,noun,A1,no,no,no
guitar,noun,A1,yes,yes,no
guy,noun,A1,no,no,no
habit,noun,A1,no,no,no
hair,noun,A1,yes,yes,no
haircut,noun,A1,no,no,no
half,noun,A1,no,no,no
hall,noun,A1,no,no,no
hamburger,noun,A1,yes,no,no
hand,noun,A1,yes,no,no
hat,noun,A1,yes,yes,no
head,noun,A1,yes,no,no
headache,noun,A1,no,no,no
health,noun,A1,no,no,no
heart,noun,A1,yes,no,yes
hello,noun,A1,no,no,no
hill,noun,A1,yes,yes,no
history,noun,A1,no,no,no
hobby,noun,A1,yes,yes,no
hold,noun,A1,yes,no,no
hole,noun,A1,yes,yes,no
holiday,noun,A1,no,no,no
home,noun,A1,yes,yes,no
hometown,noun,A1,no,no,no
homework,noun,A1,yes,no,no
hope,noun,A1,no,no,no
horse,noun,A1,yes,yes,no
hospital,noun,A1,yes,yes,no
hotel,noun,A1,yes,yes,no
hour,noun,A1,no,no,no
house,noun,A1,yes,yes,no
hurry,noun,A1,no,no,no
husband,noun,A1,no,no,no
ice,noun,A1,yes,yes,no
ice cream,noun,A1,yes,yes,no
idea,noun,A1,no,no,no
information,noun,A1,no,no,no
internet,noun,A1,no,no,no
interview,noun,A1,no,no,no
interviewer,noun,A1,no,no,no
island,noun,A1,yes,yes,no
item,noun,A1,no,no,no
jacket,noun,A1,yes,yes,no
january,noun,A1,no,no,no
jeans,noun,A1,yes,no,no
jet,noun,A1,yes,yes,no
jewelry,noun,A1,yes,yes,no
job,noun,A1,no,no,no
juice,noun,A1,yes,yes,no
july,noun,A1,no,no,no
june,noun,A1,no,no,no
key,noun,A1,yes,yes,no
kick,noun,A1,yes,no,no
kid,noun,A1,no,no,no
kind,noun,A1,no,no,no
king,noun,A1,yes,no,no
kiss,noun,A1,no,no,no
kitchen,noun,A1,yes,yes,no
kite,noun,A1,yes,yes,no
knee,noun,A1,yes,yes,no
knife,noun,A1,yes,yes,no
lady,noun,A1,no,no,no
language,noun,A1,no,no,no
last name,noun,A1,no,no,no
leader,noun,A1,no,no,no
leaf,noun,A1,yes,yes,no
leg,noun,A1,yes,no,no
lesson,noun,A1,no,no,no
letter,noun,A1,yes,yes,no
library,noun,A1,yes,yes,no
life,noun,A1,no,no,no
light,noun,A1,no,no,no
lily,noun,A1,yes,yes,no
line,noun,A1,no,no,no
lion,noun,A1,yes,yes,no
list,noun,A1,no,no,no
living room,noun,A1,no,no,no
look,noun,A1,yes,no,no
love,noun,A1,no,no,no
luck,noun,A1,no,no,no
lunch,noun,A1,yes,no,no
machine,noun,A1,no,no,no
magazine,noun,A1,yes,yes,no
mail,noun,A1,yes,no,no
man,noun,A1,no,no,no
map,noun,A1,yes,yes,no
march,noun,A1,yes,no,no
match,noun,A1,yes,yes,no
math,noun,A1,yes,no,no
matter,noun,A1,no,no,no
may,noun,A1,no,no,no
meal,noun,A1,no,no,no
meat,noun,A1,yes,no,no
medicine,noun,A1,yes,yes,no
meeting,noun,A1,yes,no,no
memory,noun,A1,no,no,no
message,noun,A1,no,no,no
milk,noun,A1,yes,yes,no
mind,noun,A1,no,no,no
minute,noun,A1,no,no,no
miss,noun,A1,no,no,no
mobile,noun,A1,yes,no,no
mobile phone,noun,A1,no,no,no
mom,noun,A1,no,no,no
moment,noun,A1,no,no,no
mommy,noun,A1,no,no,no
monday,noun,A1,no,no,no
money,noun,A1,yes,yes,no
monkey,noun,A1,yes,yes,no
month,noun,A1,no,no,no
