word,pos,CEFR-J level,exact asset exists,already in curated dictionary,already found by open-world discovery
add,verb,A1,no,no,no
agree,verb,A1,no,no,no
answer,verb,A1,yes,no,no
arrive,verb,A1,yes,no,no
ask,verb,A1,yes,no,no
become,verb,A1,no,no,no
begin,verb,A1,no,no,no
believe,verb,A1,no,no,no
blow,verb,A1,yes,no,no
borrow,verb,A1,yes,no,no
break,verb,A1,yes,no,no
breathe,verb,A1,yes,no,no
bring,verb,A1,yes,no,no
brush,verb,A1,yes,yes,yes
build,verb,A1,yes,no,no
buy,verb,A1,yes,no,no
carry,verb,A1,yes,no,no
catch,verb,A1,yes,no,no
celebrate,verb,A1,yes,no,no
change,verb,A1,no,no,no
choose,verb,A1,yes,no,no
clean,verb,A1,yes,no,no
close,verb,A1,yes,no,no
collect,verb,A1,yes,yes,no
color,verb,A1,yes,no,no
come,verb,A1,no,no,no
cook,verb,A1,yes,yes,no
cut,verb,A1,yes,no,no
dance,verb,A1,yes,no,no
describe,verb,A1,no,no,no
discuss,verb,A1,yes,no,no
draw,verb,A1,yes,no,no
drink,verb,A1,yes,no,no
drop,verb,A1,yes,no,no
eat,verb,A1,yes,no,no
enjoy,verb,A1,no,no,no
exercise,verb,A1,no,no,no
feel,verb,A1,no,no,no
fill,verb,A1,yes,no,no
find,verb,A1,yes,no,no
finish,verb,A1,no,no,no
fly,verb,A1,yes,no,no
focus,verb,A1,no,no,no
forget,verb,A1,no,no,no
get,verb,A1,no,no,no
give,verb,A1,yes,no,no
go,verb,A1,no,no,no
greet,verb,A1,yes,no,no
grow,verb,A1,no,no,no
guess,verb,A1,yes,no,no
happen,verb,A1,no,no,no
hear,verb,A1,no,no,no
help,verb,A1,no,no,no
hide,verb,A1,yes,no,yes
hurt,verb,A1,yes,no,no
imagine,verb,A1,no,no,no
introduce,verb,A1,no,no,no
join,verb,A1,yes,no,no
judge,verb,A1,no,no,no
jump,verb,A1,yes,no,no
keep,verb,A1,no,no,no
kick,verb,A1,yes,no,no
kill,verb,A1,no,no,no
know,verb,A1,no,no,no
laugh,verb,A1,yes,no,no
learn,verb,A1,no,no,no
leave,verb,A1,yes,no,no
let,verb,A1,no,no,no
like,verb,A1,no,no,no
listen,verb,A1,yes,no,no
live,verb,A1,no,no,no
look,verb,A1,yes,no,no
love,verb,A1,no,no,no
make,verb,A1,yes,no,no
mean,verb,A1,no,no,no
meet,verb,A1,yes,no,no
miss,verb,A1,no,no,no
note,verb,A1,no,no,no
open,verb,A1,yes,no,no
paint,verb,A1,yes,yes,no
pay,verb,A1,yes,no,no
phone,verb,A1,yes,yes,no
pick,verb,A1,yes,no,no
play,verb,A1,no,no,no
practice,verb,A1,yes,no,no
pray,verb,A1,no,no,no
push,verb,A1,yes,no,no
put,verb,A1,yes,no,no
rain,verb,A1,yes,yes,no
read,verb,A1,yes,no,no
remember,verb,A1,no,no,no
repeat,verb,A1,no,no,no
ride,verb,A1,yes,no,no
ring,verb,A1,yes,yes,no
run,verb,A1,yes,no,no
save,verb,A1,yes,no,no
say,verb,A1,no,no,no
see,verb,A1,no,no,no
sell,verb,A1,yes,no,no
set,verb,A1,no,no,no
share,verb,A1,yes,no,no
show,verb,A1,yes,no,no
sing,verb,A1,yes,yes,no
sit,verb,A1,yes,no,no
sleep,verb,A1,yes,no,no
solve,verb,A1,no,no,no
speak,verb,A1,yes,no,no
spend,verb,A1,yes,no,no
start,verb,A1,yes,no,no
stay,verb,A1,no,no,no
step,verb,A1,no,no,no
stop,verb,A1,yes,no,no
study,verb,A1,no,no,no
swim,verb,A1,yes,no,no
take,verb,A1,yes,no,no
talk,verb,A1,yes,no,no
teach,verb,A1,no,no,no
tell,verb,A1,no,no,no
thank,verb,A1,no,no,no
think,verb,A1,no,no,no
travel,verb,A1,yes,no,no
turn,verb,A1,yes,no,no
use,verb,A1,no,no,no
visit,verb,A1,yes,no,no
wait,verb,A1,yes,no,no
walk,verb,A1,yes,no,no
want,verb,A1,no,no,no
wash,verb,A1,yes,no,no
watch,verb,A1,yes,yes,no
wear,verb,A1,yes,no,no
welcome,verb,A1,yes,no,no
win,verb,A1,yes,no,no
work,verb,A1,no,no,no
write,verb,A1,yes,no,no
accept,verb,A2,no,no,no
achieve,verb,A2,no,no,no
adjust,verb,A2,no,no,no
admire,verb,A2,no,no,no
admit,verb,A2,no,no,no
advise,verb,A2,no,no,no
allow,verb,A2,no,no,no
annoy,verb,A2,no,no,no
apologize,verb,A2,no,no,no
appear,verb,A2,no,no,no
apply,verb,A2,no,no,no
appreciate,verb,A2,no,no,no
argue,verb,A2,no,no,no
attack,verb,A2,no,no,no
avoid,verb,A2,no,no,no
bake,verb,A2,yes,no,no
bank,verb,A2,yes,yes,no
bear,verb,A2,yes,yes,no
beg,verb,A2,no,no,no
belong,verb,A2,no,no,no
bend,verb,A2,yes,no,no
blame,verb,A2,no,no,no
boil,verb,A2,yes,no,no
bother,verb,A2,no,no,no
bury,verb,A2,yes,no,no
call,verb,A2,yes,no,no
camp,verb,A2,yes,yes,no
cause,verb,A2,no,no,no
chat,verb,A2,no,no,no
check,verb,A2,no,no,no
cheer,verb,A2,yes,no,no
claim,verb,A2,no,no,no
click,verb,A2,yes,no,no
climb,verb,A2,yes,no,no
clone,verb,A2,no,no,no
communicate,verb,A2,no,no,no
compare,verb,A2,no,no,no
complain,verb,A2,no,no,no
concentrate,verb,A2,no,no,no
