lesson_id,source,topic,title,level,duration,word,normalized_key,index_key,match_kind,on_board,tier,success,failure_reason,art_src
amusement-debug,synthetic:amusement-park,Amusement Park,Amusement Park Fun,A1,30,ticket,ticket,ticket,exact,true,prop,true,,assets/09_props/img/gash-prize-ticket.png
amusement-debug,synthetic:amusement-park,Amusement Park,Amusement Park Fun,A1,30,popcorn,popcorn,popcorn,exact,true,pack,true,,assets/07_vocab-pack/img/popcorn.png
amusement-debug,synthetic:amusement-park,Amusement Park,Amusement Park Fun,A1,30,ferris wheel,ferris-wheel,ferris-wheel,exact,true,pack,true,,assets/07_vocab-pack/img/ferris-wheel.png
amusement-debug,synthetic:amusement-park,Amusement Park,Amusement Park Fun,A1,30,entrance,entrance,entrance,exact,true,pack,true,,assets/07_vocab-pack/img/entrance.png
amusement-debug,synthetic:amusement-park,Amusement Park,Amusement Park Fun,A1,30,rollercoaster,rollercoaster,roller-coaster,exact,true,pack,true,,assets/07_vocab-pack/img/roller-coaster.png
amusement-debug,synthetic:amusement-park,Amusement Park,Amusement Park Fun,A1,30,prize,prize,prize,exact,true,pack,true,,assets/07_vocab-pack/img/prize.png
gen-001,generate-lesson,Amusement Park,A Day at the Amusement Park,A1,30,rollercoaster,rollercoaster,roller-coaster,exact,true,pack,true,,assets/07_vocab-pack/img/roller-coaster.png
gen-001,generate-lesson,Amusement Park,A Day at the Amusement Park,A1,30,ticket,ticket,ticket,exact,true,prop,true,,assets/09_props/img/gash-prize-ticket.png
gen-001,generate-lesson,Amusement Park,A Day at the Amusement Park,A1,30,popcorn,popcorn,popcorn,exact,true,pack,true,,assets/07_vocab-pack/img/popcorn.png
gen-001,generate-lesson,Amusement Park,A Day at the Amusement Park,A1,30,balloon,balloon,balloon,exact,true,prop,true,,assets/09_props/img/party-balloon.png
gen-001,generate-lesson,Amusement Park,A Day at the Amusement Park,A1,30,carousel,carousel,carousel,exact,true,prop,true,,assets/09_props/img/park-carousel.png
gen-001,generate-lesson,Amusement Park,A Day at the Amusement Park,A1,30,prize,prize,prize,exact,true,pack,true,,assets/07_vocab-pack/img/prize.png
gen-002,generate-lesson,At the Dentist,At the Dentist,A2,60,toothbrush,toothbrush,toothbrush,exact,true,pack,true,,assets/07_vocab-pack/img/toothbrush.png
gen-002,generate-lesson,At the Dentist,At the Dentist,A2,60,dentist,dentist,dentist,exact,true,pack,true,,assets/07_vocab-pack/img/dentist.png
gen-002,generate-lesson,At the Dentist,At the Dentist,A2,60,cavity,cavity,cavity,exact,true,pack,true,,assets/07_vocab-pack/img/cavity.png
gen-002,generate-lesson,At the Dentist,At the Dentist,A2,60,floss,floss,floss,exact,true,pack,true,,assets/07_vocab-pack/img/floss.png
gen-002,generate-lesson,At the Dentist,At the Dentist,A2,60,chair,chair,chair,exact,false,none,false,silent blank slot,
gen-002,generate-lesson,At the Dentist,At the Dentist,A2,60,smile,smile,smile,exact,false,prop,true,,assets/09_props/img/face-mouth-smile.png
